title,release_year,budget,revenue,runtime,mpaa_rating_numeric,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
The Hills Have Eyes,1977,350000,25000000,90,4,6.5,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saturday Night Fever,1977,3500000,237113184,118,4,6.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Slap Shot,1977,6000000,28000000,123,4,7.2,4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"New York, New York",1977,14000000,16400000,163,2,7.6,7.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Last Wave,1977,810000,1300000,106,2,7.3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cross of Iron,1977,6000000,1509000,132,4,6.8,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Julia,1977,7840000,20700000,117,2,7.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Superman,1978,55000000,300500000,143,2,7.1,4.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Lord of the Rings,1978,4000000,30500000,132,2,6.2,3.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Invasion of the Body Snatchers,1978,3500000,24946533,116,2,7.2,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Deer Hunter,1978,15000000,49000000,183,4,7.2,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Every Which Way but Loose,1978,5000000,85196485,110,2,6.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Convoy,1978,12000000,45000000,110,2,6.8,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Halloween,1978,325000,70260597,91,4,6.9,6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Death on the Nile,1978,7920000,14560084,140,2,6.6,4.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Wiz,1978,24000000,21049053,134,1,7.1,3.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Animal House,1978,2700000,141000000,109,4,7.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Piranha,1978,660000,16000000,94,4,6.6,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Midnight Express,1978,2300000,35000000,121,4,7.3,4.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Grease,1978,6000000,396271103,110,2,6.5,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Watership Down,1978,1000000,3713768,92,2,7.5,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Damien - Omen II,1978,6800000,26518355,107,4,6.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Revenge of the Pink Panther,1978,12000000,49579269,99,2,7.1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Paradise Alley,1978,6000000,7185518,107,2,6.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interiors,1978,10000000,10400000,93,2,7.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Boys from Brazil,1978,12000000,19000000,125,4,7,4.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coming Home,1978,3000000,32653905,127,4,6.8,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
