title,release_year,budget,revenue,runtime,mpaa_rating_numeric,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
Entrapment,1999,66000000,212404400,112,3,6.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
The General's Daughter,1999,60000000,149700000,116,4,6.4,5.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Cider House Rules,1999,24000000,88500000,126,3,6.7,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
House on Haunted Hill,1999,37000000,40846082,93,4,4.5,5.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Man on the Moon,1999,82000000,47434430,118,4,7.6,5.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Following,1999,6000,48482,69,4,8.2,4.2,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
All About My Mother,1999,8272296,67956089,101,4,7.2,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Go,1999,6500000,28451622,98,4,7.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Ravenous,1999,12000000,2000000,101,4,6.9,6.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
A Midsummer Night's Dream,1999,11000000,16071990,116,3,6.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
The Limey,1999,10000000,3204663,89,4,6.8,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Election,1999,25000000,14902041,103,4,7.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Bringing Out the Dead,1999,32000000,16797191,121,4,7.6,8.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Boys Don't Cry,1999,2000000,11540607,118,4,6.6,6.4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Ghost Dog: The Way of the Samurai,1999,2000000,9392768,116,4,7.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Instinct,1999,80000000,34105207,124,4,6.5,6.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Forces of Nature,1999,75000000,93888180,105,3,5.5,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Jakob the Liar,1999,45000000,4956701,120,3,6.5,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Angela's Ashes,1999,50000000,13042112,145,4,7.3,5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Rage: Carrie 2,1999,21000000,17762705,104,4,4.8,3.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
EDtv,1999,80000000,35242897,122,3,7,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Holy Smoke,1999,15000000,1765545,115,4,6.4,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
The Adventures of Elmo in Grouchland,1999,26000000,11700000,73,1,5.8,3.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Sunshine,1999,26000000,7918035,181,4,7.2,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
Flawless,1999,15000000,4488529,112,4,6.6,8.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Human Traffic,1999,600000,4000000,99,4,7.1,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The End of the Affair,1999,23000000,10827816,102,4,6.9,9.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Anywhere but Here,1999,23000000,18653615,114,3,6.6,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Butterfly,1999,3000000,7738129,96,4,7.6,4.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Story of Us,1999,50000000,58900031,96,4,7.3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Bachelor,1999,51000000,36911617,101,3,5.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Best Man,1999,9000000,34573780,120,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Tea with Mussolini,1999,12000000,21001563,117,2,6.8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
The Wood,1999,6000000,25059640,106,4,6.9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Baby Geniuses,1999,12000000,36450736,97,2,5.2,4.3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Snow Falling on Cedars,1999,35000000,14417593,127,3,6.9,6.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Music of the Heart,1999,27000000,14859394,124,2,6.5,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Shiri,1999,8500000,98452,125,4,7.4,4.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
An Ideal Husband,1999,14000000,18500000,97,3,6.8,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
A Walk on the Moon,1999,14000000,4750660,107,4,6.7,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
East Is East,1999,3800000,28200000,97,4,6.9,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Cradle Will Rock,1999,36000000,2900000,132,4,7.1,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Guinevere,1999,2600000,614202,104,4,5.9,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Limbo,1999,8000000,1997807,126,4,7.4,6.4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Beyond the Mat,1999,2053648,500000,102,4,7.6,4.3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Cookie's Fortune,1999,10000000,10920544,118,3,6.8,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Tumbleweeds,1999,312000,1400000,102,3,7.4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
How the Grinch Stole Christmas,2000,123000000,345800000,104,2,7,5.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
Erin Brockovich,2000,52000000,256271286,131,4,6.8,5.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
American Psycho,2000,7000000,34300000,102,4,7.6,7.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Snatch,2000,10000000,83600000,103,4,7.2,8.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Emperor's New Groove,2000,100000000,169327687,78,1,6.4,6.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Unbreakable,2000,75000000,248118121,106,3,6.2,7.9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Road to El Dorado,2000,95000000,76400000,89,2,6.4,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Mission: Impossible II,2000,125000000,546388108,123,3,6.5,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
In the Mood for Love,2000,150000,14204632,99,2,8,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Scary Movie,2000,19000000,278019771,88,4,5.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Charlie's Angels,2000,92000000,264105545,98,3,5.8,5.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Memento,2000,9000000,40047236,113,4,8.2,7.4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken Run,2000,45000000,224834564,84,1,7.1,5.3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Final Destination,2000,23000000,112880294,98,4,6.7,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gladiator,2000,103000000,465361176,155,4,7.1,9.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
What Women Want,2000,70000000,374100000,127,3,6.8,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Scream 3,2000,40000000,161834276,116,4,6.5,4.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gone in Sixty Seconds,2000,90000000,237200000,118,3,6.6,6.8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Dinosaur,2000,127500000,354248063,82,2,6.4,4.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Cast Away,2000,90000000,429632142,143,3,7.2,8.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
The Virgin Suicides,2000,6000000,10409377,97,4,6.6,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
What Lies Beneath,2000,100000000,291420351,130,3,7.2,6.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Meet the Parents,2000,55000000,330444045,108,3,6.7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
The Patriot,2000,110000000,215294342,165,4,6.4,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"Me, Myself & Irene",2000,51000000,149270999,116,4,6.4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Road Trip,2000,16000000,119754278,93,4,6.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Miss Congeniality,2000,45000000,212000000,111,3,6.5,7.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Billy Elliot,2000,5000000,109280263,110,4,7.4,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Hollow Man,2000,95000000,190213455,112,4,7.1,6.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Traffic,2000,48000000,207500000,147,4,6.8,6.7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Amores Perros,2000,2000000,20908467,154,4,7.8,6.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Big Momma's House,2000,30000000,173959438,98,3,5.2,5.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Remember the Titans,2000,30000000,136700000,113,2,7.6,5.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Bedazzled,2000,48000000,90383208,93,3,6.9,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Shaft,2000,46000000,107626125,99,4,6.4,8.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Frequency,2000,31000000,68106245,118,3,7.2,6.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Thirteen Days,2000,80000000,34566746,145,3,6.6,5.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Romeo Must Die,2000,25000000,91036760,115,4,6.1,4.2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Almost Famous,2000,60000000,47386287,124,4,6.9,5.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"Crouching Tiger, Hidden Dragon",2000,17000000,213978518,120,3,7,9.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Boiler Room,2000,7000000,28780255,118,4,6.9,5.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"O Brother, Where Art Thou?",2000,26000000,71900000,107,3,7.7,7.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Vertical Limit,2000,75000000,215663859,124,3,6.6,5.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Dude, Where's My Car?",2000,13000000,73180723,83,3,5.5,5.2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
High Fidelity,2000,30000000,47100000,113,4,7,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Dancer in the Dark,2000,12500000,40061153,140,4,7.4,5.3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Perfect Storm,2000,130000000,328718434,130,3,7.1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
Coyote Ugly,2000,45000000,113900000,100,3,5.1,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
The Family Man,2000,60000000,124700000,125,3,6.9,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
The Cell,2000,33000000,104155843,107,4,6.4,4.8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
U-571,2000,62000000,127700000,116,3,6.6,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Fantasia 2000,2000,80000000,60655420,74,1,7.1,4.3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Bring It On,2000,28000000,90449929,98,3,6.5,4.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Shanghai Noon,2000,55000000,99274467,110,3,6,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
Chocolat,2000,25000000,152500000,121,3,6.7,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Titan A.E.,2000,75000000,36754634,94,2,7,9.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Finding Forrester,2000,43000000,80100000,136,3,6.7,5.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Little Nicky,2000,85000000,58292295,90,3,5.6,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
The Kid,2000,65000000,110317580,104,2,6.5,5.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
102 Dalmatians,2000,85000000,183611771,100,1,6,4.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Nutty Professor II: The Klumps,2000,84000000,123307945,107,3,6.2,4.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
But I'm a Cheerleader,2000,1200000,2600000,85,4,6.8,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Audition,2000,250000,359853,115,4,6.8,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Space Cowboys,2000,65000000,128900000,130,3,7.2,6.8,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Pay It Forward,2000,40000000,55707411,122,3,6.9,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Legend of Bagger Vance,2000,80000000,39459427,126,3,7,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Crimson Rivers,2000,2365000,594966,106,4,6.4,4.9,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Book of Shadows: Blair Witch 2,2000,15000000,47737094,90,4,4,2.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
Rules of Engagement,2000,60000000,71000000,128,4,6.6,9.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Flintstones in Viva Rock Vegas,2000,83000000,59468275,90,2,4.8,3.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Urban Legends: Final Cut,2000,14000000,38574362,98,4,4.4,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Quills,2000,13500000,7060876,124,4,7.2,11.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nine Queens,2000,1300000,12413888,114,4,7.9,5.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Tigerland,2000,10000000,148701,101,4,6.6,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Where the Heart Is,2000,15000000,33800000,120,3,6.7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Bounce,2000,35000000,36779296,107,3,6.1,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Art of War,2000,40000000,30199105,117,4,5.7,4.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
Pitch Black,2000,23000000,53187659,108,4,6.6,4.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Little Vampire,2000,35000000,27965865,95,2,5.2,3.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Rugrats in Paris: The Movie,2000,30000000,103291131,78,1,6.2,3.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Sexy Beast,2000,5000000,6946056,89,4,6.8,5.9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Brother,2000,12000000,15250000,114,4,7.2,4.3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Battlefield Earth,2000,44000000,29725663,117,3,2.5,6.3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Return to Me,2000,24000000,36600000,115,2,7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Contender,2000,20000000,22428990,126,4,6.9,7.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Adventures of Rocky & Bullwinkle,2000,76000000,35100000,92,2,4.3,7.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Keeping the Faith,2000,30000000,59945183,127,3,6.6,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Wonder Boys,2000,35000000,33426588,111,4,7.1,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Digimon: The Movie,2000,5500000,16600000,89,2,6,3.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Shadow of the Vampire,2000,8000000,8279017,95,4,6.9,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Love & Basketball,2000,20000000,27728118,124,3,7,4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
All the Pretty Horses,2000,57000000,18133495,117,3,6.9,9.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Nurse Betty,2000,24000000,29364989,108,4,5.9,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
Bless the Child,2000,40000000,29381494,107,4,6.1,3.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
Pollock,2000,6000000,10994533,132,4,7,6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lucky Numbers,2000,65000000,10042516,105,4,6.1,5.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Million Dollar Hotel,2000,8000000,105983,122,4,7.2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Small Time Crooks,2000,25000000,29900000,94,2,7.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
My Dog Skip,2000,6000000,35547761,95,2,6.7,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Hanging Up,2000,60000000,51880044,94,3,4.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Saving Grace,2000,10000000,26330482,93,4,6.9,4.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
The Claim,2000,20000000,669258,120,4,6.4,3.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Down to You,2000,9000000,20069008,91,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Broken Hearts Club: A Romantic Comedy,2000,1000000,1744858,96,4,7,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Love's Labour's Lost,2000,13000000,300000,93,2,6.8,3.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Committed,2000,3000000,40361,98,4,5.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Next Best Thing,2000,25000000,24362772,108,3,6.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Hamlet,2000,2000000,1568749,112,4,5.9,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Weight of Water,2000,16000000,109130,113,4,7,6.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Bamboozled,2000,10000000,2463650,136,4,7,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
Jesus' Son,2000,2500000,1300000,107,4,6.9,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
X-Men,2000,75000000,296339527,104,3,7.2,9.6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Chuck & Buck,2000,250000,1182065,96,4,6.1,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Girlfight,2000,1000000,1700000,110,4,6.1,4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Golden Bowl,2000,15000000,5753678,130,4,7.2,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Princess Diaries,2001,37000000,165335153,115,1,6.1,5.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
Ocean's Eleven,2001,85000000,450717150,116,3,6.8,12.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Legally Blonde,2001,18000000,141774679,96,3,6.2,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Shrek,2001,60000000,488628188,90,2,7.2,6.9,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Bridget Jones's Diary,2001,25000000,281929795,97,4,6.6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Lord of the Rings: The Fellowship of the Ring,2001,93000000,871368364,179,3,7.8,11.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
The Others,2001,17000000,210002906,104,3,7.1,6.9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spirited Away,2001,19000000,274925095,125,2,8,5.8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
A Beautiful Mind,2001,58000000,316800000,135,3,7,9.9,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Harry Potter and the Philosopher's Stone,2001,125000000,976475550,152,2,6.7,7.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
The Mummy Returns,2001,98000000,443280904,130,3,6.3,6.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Mulholland Drive,2001,15000000,20289986,147,4,7.4,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Black Hawk Down,2001,92000000,172989651,145,4,7.1,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
"Monsters, Inc.",2001,115000000,579700000,92,1,8.1,6.8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Donnie Darko,2001,4500000,7500000,114,4,6.3,6.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Scary Movie 2,2001,45000000,141220678,82,4,5.5,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Amélie,2001,10000000,173921954,122,4,7.2,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Jeepers Creepers,2001,10000000,59217789,90,4,6.2,3.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Lara Croft: Tomb Raider,2001,115000000,274703340,100,3,6.4,4.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
Vanilla Sky,2001,68000000,203388341,136,4,6.9,8.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Planet of the Apes,2001,100000000,362211740,120,3,6.9,7.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Pearl Harbor,2001,140000000,449220945,183,3,6.4,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
