title,release_year,budget,runtime,mpaa_rating_numeric,metascore,director_score,cast_score,genre_war,genre_western,genre_sci-fi,genre_biography,genre_musical,genre_thriller,genre_mystery,genre_news,genre_sport,genre_animation,genre_adventure,genre_family,genre_crime,genre_music,genre_romance,genre_history,genre_fantasy,genre_drama,genre_horror,genre_action,genre_comedy,genre_documentary
The Rescuers,1977,7500000,78,1,74,6.9,4.1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Close Encounters of the Third Kind,1977,20000000,137,2,90,7.5,4.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Bridge Too Far,1977,22000000,175,2,63,7.6,5.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
The Spy Who Loved Me,1977,13500000,125,2,55,6.6,4.2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Hills Have Eyes,1977,350000,90,4,64,6.5,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saturday Night Fever,1977,3500000,118,4,77,6.7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Slap Shot,1977,6000000,123,4,61,7.2,4.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
"New York, New York",1977,14000000,163,2,64,7.6,7.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Last Wave,1977,810000,106,2,85,7.3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Cross of Iron,1977,6000000,132,4,64,6.8,4.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Julia,1977,7840000,117,2,58,7.1,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Superman,1978,55000000,143,2,82,7.1,4.9,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
The Lord of the Rings,1978,4000000,132,2,51,6.2,3.7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Invasion of the Body Snatchers,1978,3500000,116,2,75,7.2,5.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
The Deer Hunter,1978,15000000,183,4,90,7.2,8.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Every Which Way but Loose,1978,5000000,110,2,41,6.3,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Convoy,1978,12000000,110,2,47,6.8,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Halloween,1978,325000,91,4,90,6.9,6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Death on the Nile,1978,7920000,140,2,59,6.6,4.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
The Wiz,1978,24000000,134,1,53,7.1,3.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
Animal House,1978,2700000,109,4,79,7.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Piranha,1978,660000,94,4,71,6.6,3.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Midnight Express,1978,2300000,121,4,59,7.3,4.6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Grease,1978,6000000,110,2,70,6.5,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Watership Down,1978,1000000,92,2,64,7.5,4.5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Damien - Omen II,1978,6800000,107,4,45,6.4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Revenge of the Pink Panther,1978,12000000,99,2,65,7.1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Paradise Alley,1978,6000000,107,2,53,6.7,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Interiors,1978,10000000,93,2,67,7.2,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Boys from Brazil,1978,12000000,125,4,40,7,4.3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Coming Home,1978,3000000,127,4,61,6.8,5.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Eyes of Laura Mars,1978,7000000,104,4,49,7,5.7,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The First Great Train Robbery,1978,6000000,110,2,68,6.9,4.8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
Days of Heaven,1978,3000000,94,2,94,7.2,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Blue Collar,1978,1700000,114,4,77,6.6,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
La Cage aux Folles,1978,1100000,92,4,61,7.2,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Heaven Can Wait,1978,15000000,101,2,72,6.6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
F.I.S.T.,1978,11000000,145,2,54,7,4.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
An Unmarried Woman,1978,2515000,124,4,79,6.7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Buddy Holly Story,1978,1200000,114,2,78,7,4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Alien,1979,11000000,117,4,89,7.1,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Apocalypse Now,1979,31500000,147,4,94,6.8,4.8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rocky II,1979,7000000,120,2,61,6.7,5.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Tin Drum,1979,3000000,162,4,63,6.7,4.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hair,1979,11000000,121,2,68,7.6,4.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
The Muppet Movie,1979,8000000,97,1,74,7.6,4.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Lupin the Third: The Castle of Cagliostro,1979,7202188,102,3,72,8,4.4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
Moonraker,1979,34000000,126,2,66,6.6,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Mad Max,1979,350000,91,4,73,6.6,5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Star Trek: The Motion Picture,1979,44000000,131,1,50,6.4,4.4,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kramer vs. Kramer,1979,8000000,105,2,77,7.2,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
...And Justice for All,1979,6000000,119,4,58,7,5.4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Meatballs,1979,1207520,92,2,60,6.4,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Manhattan,1979,9000000,96,4,83,7.2,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Tess,1979,12000000,172,2,82,7.1,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
The Black Stallion,1979,2700000,118,1,84,7.2,4.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
All That Jazz,1979,12000000,123,4,72,7.8,4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
The Jerk,1979,4000000,94,4,61,7.1,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
The China Syndrome,1979,5900000,122,2,81,7.4,5.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Brood,1979,1355000,92,4,63,6.7,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Phantasm,1979,300000,89,4,72,6.5,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Breaking Away,1979,2300000,101,2,91,6.9,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
When a Stranger Calls,1979,1500000,97,4,58,6.4,3.8,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Norma Rae,1979,4500000,110,2,61,7.3,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Great Santini,1979,4000000,115,2,64,7.1,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Electric Horseman,1979,12500000,122,2,64,6.8,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
Going in Style,1979,5500000,97,2,65,6.6,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
The Rose,1979,9250000,125,4,67,6.9,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
The Empire Strikes Back,1980,18000000,124,2,82,7,8.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
